City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
256,alliance,-81.1059,40.9153,294.86,88,100,2.68,US,1687539059
257,kailua-kona,-155.9956,19.6406,296.81,78,20,3.13,US,1687538908
258,barberino di mugello,11.2371,44.0027,301.07,87,82,1.24,IT,1687539059
259,badger,-147.5333,64.8,290.29,93,100,1.54,US,1687539060
260,ulsteinvik,5.8487,62.3432,289.21,75,24,2.24,NO,1687539060
261,jamestown,-79.2353,42.097,293.72,83,100,3.09,US,1687538865
262,vimmerby,15.8552,57.6659,296.37,33,95,3.68,SE,1687539060
263,fisterra,-9.2629,42.9049,301.9,78,0,8.43,ES,1687539061
264,harper,-7.7169,4.375,299.74,73,76,5.21,LR,1687539061
265,kurumkan,110.3,54.3,290.2,85,77,0.49,RU,1687539061
266,valbo,17.0333,60.65,290.3,56,68,1.13,SE,1687539061
267,st. john's,-52.7093,47.5649,296.64,60,100,8.23,CA,1687538963
268,benghazi,20.0667,32.1167,299.03,65,0,6.05,LY,1687539062
269,tura,90.2201,25.5198,297.34,94,20,2.25,IN,1687539062
270,hilo,-155.09,19.7297,296.64,97,100,2.57,US,1687539062
271,catanduva,-48.9728,-21.1378,299.25,35,66,3.87,BR,1687538803
272,mumford,-0.759,5.2618,298.84,85,33,6.16,GH,1687539063
273,staraya russa,31.3608,57.9944,294.79,64,83,2.35,RU,1687539063
274,howrah,88.3103,22.5892,301.15,94,75,0.0,IN,1687539063
275,embi,58.1442,48.8264,289.68,42,76,8.91,KZ,1687539064
276,tosontsengel,98.2839,48.7567,284.13,78,100,0.72,MN,1687539064
277,toppenish,-120.3087,46.3774,297.79,33,1,1.1,US,1687538956
278,severobaykal'sk,109.3167,55.65,283.52,90,45,1.97,RU,1687539064
279,airway heights,-117.5933,47.6446,295.39,41,20,3.09,US,1687539064
280,hanover,9.7332,52.3705,297.21,73,20,4.12,DE,1687539065
281,oranjemund,16.4333,-28.55,287.24,93,40,2.68,NA,1687539065
282,boguchany,97.4531,58.3814,283.11,92,20,1.58,RU,1687539065
283,zhumysker,49.4,49.3333,289.66,62,99,3.15,KZ,1687539066
284,lu-uk,121.3122,5.9684,298.71,86,62,0.73,PH,1687539066
285,smirnykh,142.8333,49.75,283.35,94,100,0.62,RU,1687539066
286,kirensk,108.1119,57.7853,286.5,80,70,0.82,RU,1687539066
287,alice springs,133.8833,-23.7,286.05,53,20,25.48,AU,1687539067
288,nagqu,92.0,31.5,279.05,44,55,1.06,CN,1687539067
289,sarkand,79.9186,45.41,293.35,44,79,3.27,KZ,1687539067
290,torzhok,34.9622,57.0436,292.1,83,20,3.29,RU,1687539068
291,ola,151.2833,59.5833,285.96,88,84,1.53,RU,1687539068
292,malango,119.9001,-2.9627,293.33,99,100,0.8,ID,1687539068
293,amqui,-67.4313,48.4638,303.04,43,0,2.76,CA,1687539069
294,plouzane,-4.6167,48.3833,297.33,62,0,5.14,FR,1687539069
295,brookings,-96.7984,44.3114,299.4,82,20,3.09,US,1687538817
296,beau vallon,57.6953,-20.4189,293.83,77,20,2.06,MU,1687539069
297,puerto baquerizo moreno,-89.6,-0.9,300.7,69,40,5.14,EC,1687539070
298,labuan,115.2417,5.2767,298.35,94,20,0.0,MY,1687539070
299,paracin,21.4078,43.8608,300.82,79,3,1.05,RS,1687539070
300,shima,117.8111,24.4478,302.16,94,100,0.63,CN,1687539071
301,kourou,-52.6478,5.1552,300.18,63,39,3.92,GF,1687539071
302,shiloh,-89.8973,38.5614,305.41,50,20,2.06,US,1687539071
303,srivardhan,73.0167,18.0333,301.39,79,96,2.37,IN,1687539071
304,camara de lobos,-16.9667,32.6333,298.55,76,40,7.2,PT,1687539071
305,oriximina,-55.8661,-1.7656,305.78,50,47,3.24,BR,1687539072
306,seminole,-81.2081,28.7086,305.2,80,100,0.89,US,1687539072
307,ivanivka,34.553,46.7208,295.32,57,86,4.79,UA,1687539072
308,el colomo,-104.25,19.05,305.09,54,21,3.31,MX,1687539073
309,newman,-121.0208,37.3138,292.72,55,1,2.68,US,1687539073
310,melo,-54.1833,-32.3667,291.51,65,21,1.83,UY,1687539073
311,alvand,49.1678,36.3187,284.99,82,6,3.64,IR,1687539073
312,belyy yar,91.3903,53.6039,286.09,88,0,2.0,RU,1687539074
313,yulinshi,109.7494,38.2906,298.53,32,97,5.9,CN,1687539074
314,villamontes,-63.5,-21.25,297.84,61,1,0.0,BO,1687539074
315,gering,-103.6605,41.8258,291.22,88,100,4.63,US,1687539074
316,tolanaro,46.9987,-25.0319,292.19,82,75,7.2,MG,1687539074
317,kavalerovo,135.0572,44.2661,284.34,95,45,0.58,RU,1687539075
318,kudymkar,54.656,59.0173,285.71,57,8,0.96,RU,1687539075
319,charleston,-79.9309,32.7766,301.05,79,75,5.66,US,1687538869
320,ancud,-73.8203,-41.8697,283.97,92,84,6.16,CL,1687538844
321,hithadhoo,73.0833,-0.6,300.83,72,97,1.66,MV,1687539076
322,svendborg,10.6068,55.0598,294.04,54,64,6.85,DK,1687539076
323,gadzhiyevo,33.3362,69.2551,291.93,45,60,0.78,RU,1687539076
324,bac lieu,105.7244,9.285,301.22,79,74,5.53,VN,1687539077
325,ustka,16.8619,54.5805,290.41,75,100,4.11,PL,1687539077
326,khandyga,135.6,62.6667,290.24,80,9,1.33,RU,1687539077
327,al bawiti,28.8659,28.3492,305.21,24,0,4.85,EG,1687539077
328,fernie,-115.0687,49.5,289.2,29,36,0.72,CA,1687539078
329,tobruk,23.9764,32.0836,297.75,68,0,4.34,LY,1687539078
330,keflavik,-22.5624,64.0049,288.1,100,100,9.26,IS,1687539078
331,namibe,12.1522,-15.1961,291.29,84,22,4.34,AO,1687539078
332,puerto rico,-55.024,-26.796,294.05,94,100,1.77,AR,1687539079
333,kangding,101.9603,30.0513,286.55,99,100,1.2,CN,1687539079
334,khem karan,74.5667,31.1428,310.2,21,5,2.45,IN,1687539079
335,sitka,-135.33,57.0531,287.09,82,0,2.06,US,1687538786
336,sant antoni de portmany,1.3036,38.9807,301.14,66,0,2.24,ES,1687539079
337,brandon,-82.2859,27.9378,305.92,69,0,1.79,US,1687538785
338,port douglas,145.4667,-16.4833,293.89,84,37,1.79,AU,1687539080
339,humaita,-63.0208,-7.5061,307.68,34,45,1.59,BR,1687539080
340,argo,22.7333,37.6333,303.59,45,0,1.18,GR,1687539080
341,port-vila,168.3219,-17.7338,294.01,71,93,3.44,VU,1687539081
342,murray bridge,139.2667,-35.1167,286.55,56,7,7.23,AU,1687539081
343,doctor juan leon mallorquin,-55.2667,-25.4,293.0,92,90,2.09,PY,1687539081
344,happy valley-goose bay,-60.3315,53.3168,286.32,88,100,1.54,CA,1687539034
345,siran,39.1267,40.1894,285.77,83,64,2.44,TR,1687539081
346,chaplygin,39.9629,53.2432,290.84,91,66,1.97,RU,1687539082
347,raduzhnyy,77.475,62.0961,277.2,88,100,2.79,RU,1687539082
348,chipinge,32.6236,-20.1883,285.09,78,6,1.79,ZW,1687539082
349,horta,-28.6333,38.5333,295.95,89,40,3.58,PT,1687539082
350,ndjole,10.7649,-0.1783,301.28,59,18,1.52,GA,1687539082
351,santa cruz,-63.1667,-17.8,302.18,61,75,9.77,BO,1687539083
352,thanh hoa,105.7667,19.8,299.93,92,100,0.91,VN,1687539083
353,laguna,-121.4238,38.421,293.39,64,20,4.63,US,1687539083
354,new plymouth,174.0833,-39.0667,288.46,100,100,6.08,NZ,1687539083
355,bakchar,82.0711,57.0186,282.04,69,92,1.61,RU,1687539084
356,holualoa,-155.9522,19.6228,295.25,79,20,3.13,US,1687539084
357,palikir - national government center,158.1611,6.9248,298.56,94,100,3.09,FM,1687539084
358,gornopravdinsk,69.9,60.05,280.3,97,100,2.29,RU,1687539084
359,kharp,65.8081,66.8014,279.25,68,100,2.17,RU,1687539085
360,chilecito,-67.4974,-29.1619,297.96,14,29,1.65,AR,1687538862
361,gornozavodsk,58.3211,58.3758,282.95,69,38,1.53,RU,1687539085
362,pirallahi,50.333,40.4723,296.23,64,0,7.09,AZ,1687539085
363,nioki,17.6833,-2.7167,299.37,61,87,1.65,CD,1687539086
364,masuguru,38.4167,-11.3667,295.9,32,17,2.18,TZ,1687539086
365,petropavlovsk-kamchatsky,158.6483,53.0452,284.48,82,0,3.0,RU,1687539086
366,shubarkuduk,56.4872,49.1447,287.94,59,97,4.45,KZ,1687539087
